
Date,Day,Shift Start time,Shift end time,Total guest served,Average spend per guest,collected cash sales (cash owed to resturant) ,Total auto gratuity,Non-cash tips (total),Non cash tips reported,Bar tipout,Support tipout,total tipout,Bottled Beer quantiy,Bottled beer sales,Draft beer quant,Draft beer sales,food quant,food sales,liquor quant,liquor sales,wine quantity,wine sales,NA beverage quant,NA beverage sales,Non-gratuity serverice charges quant,non gratutity servercice charge sales,Total Net sales,Tax,Gross Sales,total (gross + tips),gross tips,,
1/11/2025,Saturday,15:55,21:58,32,$24.11,$133.30,$0.00,$153.73,23.5%,8.51,$24.66,$33.17,1,$4.50,14,$96.04,39,$616.56,3,$21.00,0,$0.00,7,$25.00,4,$8.40,$771.50,$64.87,$836.37,$990.10,$153.73,,
1/12/2025,Sunday,15:49,20:13,40,$25.02,$86.73,$0.00,$176.09,19.1%,9.98,$30.98,$40.96,3,$16.00,8,$62.00,58,$774.55,7,$64.50,0,$0.00,20,$71.00,10,$12.94,"$1,000.99",$84.19,"$1,085.18","$1,261.27",$176.09,,
1/12/2025,Sunday,11:49,15:47,33,$22.27,$95.41,$0.00,$111.34,17.2%,11.03,$21.66,$32.69,3,$15.00,4,$30.50,39,$541.50,6,$52.00,5,$60.00,7,$24.50,5,$11.27,$734.77,$61.80,$796.57,$807.91,$111.34,,
1/16/2025,Thursday,15:48,0:53,95,$26.13,$388.60,$0.00,$463.84,21.8%,72.31,$53.78,$126.09,24,$148.00,42,$373.00,86,"$1,344.40",69,$503.00,1,$9.00,15,$53.50,12,$19.45,"$2,482.35",$208.69,"$2,691.04","$3,154.88",$463.84,,
1/17/2025,Friday,15:58,22:37,56,$25.68,$57.99,$0.00,$303.86,21.5%,32.19,$36.19,$68.38,3,$18.00,31,$300.01,57,$904.82,15,$141.80,0,$0.00,16,$53.87,10,$19.62,"$1,438.12",$120.90,"$1,559.02","$1,862.88",$303.86,,
1/18/2025,Saturday,15:53,21:36,50,$28.37,$224.47,$42.32,$264.75,21.1%,36.98,$33.65,$70.63,2,$12.00,41,$254.32,57,$841.28,25,$191.00,9,$71.00,6,$22.00,13,$26.93,"$1,418.53",$119.11,"$1,537.64","$1,844.71",$307.07,,
1/19/2025,Sunday,9:56,16:25,51,$28.55,$273.20,$0.00,$262.77,21.8%,21.56,$42.32,$63.88,4,$24.00,16,$114.00,69,"$1,058.00",12,$146.00,3,$24.00,24,$84.00,4,$6.07,"$1,456.07",$122.48,"$1,578.55","$1,841.32",$262.77,,
1/19/2025,Sunday,16:26,19:07,18,$22.82,$0.00,$0.00,$65.63,16.0%,4.16,$12.44,$16.50,0,$0.00,2,$15.50,18,$311.00,0,$0.00,3,$44.00,9,$32.00,7,$8.22,$410.72,$34.56,$445.28,$510.91,$65.63,,
1/23/2025,Thursday,15:52,23:15,75,$26.70,$19.50,$46.72,$428.92,19.1%,28.7,$60.10,$88.80,2,$11.00,33,$273.00,90,"$1,502.48",13,$102.04,3,$24.00,17,$59.83,12,$30.40,"$2,002.75",$168.36,"$2,171.11","$2,646.75",$475.64,,
1/25/2025,Saturday,15:50,21:44,34,$24.41,$144.71,$82.28,$88.91,12.8%,18.86,$20.99,$39.85,5,$28.00,21,$167.50,36,$524.75,9,$66.00,1,$8.00,6,$21.00,15,$14.59,$829.84,$69.77,$899.61,"$1,070.80",$171.19,,
1/26/2025,Sunday,9:57,16:34,41,$26.31,$63.96,$31.62,$209.68,19.9%,25.5,$25.95,$51.45,10,$61.50,19,$188.23,48,$648.73,12,$87.20,4,$27.44,15,$54.00,7,$11.70,"$1,078.80",$90.69,"$1,169.49","$1,410.79",$241.30,,
1/30/2025,Thursday,15:54,22:41,60,$25.37,$359.43,$0.00,$245.90,20.7%,25.5,$43.24,$69.74,7,$32.50,20,$180.00,70,"$1,080.90",17,$134.00,4,$32.00,13,$45.50,7,$17.08,"$1,521.98",$127.95,"$1,649.93","$1,895.83",$245.90,,
1/31/2025,Friday,15:52,22:41,57,$25.36,$6.51,$42.06,$270.09,17.9%,23.94,$41.72,$65.66,1,$5.00,23,$137.00,75,"$1,043.06",21,$183.00,2,$17.00,12,$38.96,10,$21.74,"$1,445.76",$121.52,"$1,567.28","$1,879.43",$312.15,,
2/1/2025,Saturday,15:55,22:06,53,$23.39,$175.62,$41.18,$153.05,14.2%,18.02,$37.32,$55.34,1,$5.00,18,$123.00,69,$933.00,15,$129.50,0,$0.00,14,$38.50,5,$10.50,"$1,239.50",$104.16,"$1,343.66","$1,537.89",$194.23,,
2/2/2025,Sunday,16:52,0:31,44,$26.92,$50.42,$0.00,$180.65,15.8%,21.84,$30.61,$53.45,0,$0.00,6,$43.00,49,$765.26,32,$244.94,3,$24.00,15,$52.50,5,$8.96,"$1,184.66",$99.65,"$1,284.31","$1,464.96",$180.65,,
